,car_no,gen_roi,roi,flaw_type,certainty
0,TO4667KZ,right,fr_door,E,0.9999836683940124
1,TO4667KZ,back,cofre,G,0.9999897480273745
2,TO4475KZ,right,rr_door,E,0.9999824763112066
3,TO3980KZ,top,capot,B,0.9992168291575787
4,TO3980KZ,top,top_up,B,0.9997912754266203
5,TO4391KZ,right,rr_down,G,0.9999991655351472
6,TO4391KZ,top,top_up,C,0.9999939203354735
7,DA5229PE,right,fr_door,E,0.9999886751495559
8,DA5229PE,back,cofre,A,0.9999730588820199
9,TO4626KZ,left,fl_door,E,0.9997232151847726
10,DA5545PE,right,rr_down,G,0.9999991655351472
11,DA5321PE,left,rl_door,C,0.9999471909819455
12,DA5321PE,top,top_up,J,0.9999111910511296
13,TO4088KZ,right,fr_door,C,0.9999948740071183
14,TO4088KZ,left,rl_down,G,0.9769417135814521
15,TO4088KZ,left,fl_door,D,0.9998810326675454
16,TO4088KZ,top,top_up,A,0.9999641183257246
17,TO4088KZ,back,cofre,F,0.9992270771674363
18,TO4615KZ,left,front_left,D,0.9711336108268966
19,TO4615KZ,top,capot,A,0.017148016687557055
20,TO4461KZ,left,front_left,G,0.9999953508431112
21,DA4962PE,top,capot,E,0.14539012359990977
22,DA4962PE,back,cofre,B,0.9779202743562223
23,DA4407PE,right,fr_door,G,0.999999046325911
24,DA4407PE,left,front_left,C,0.9999951124251005
25,DA4407PE,top,capot,B,0.9987086652941457
26,TO4401KZ,top,capot,C,0.9999806881883302
27,TO4401KZ,back,cofre,D,0.999764217925204
28,DA4892PE,right,rr_door,G,0.9648736991963301
29,DA4892PE,left,rl_door,C,0.9999930858731574
30,DA5163PE,left,fl_door,C,0.9999271644503871
31,DA5163PE,top,capot,C,0.9999926090377045
32,TO4505KZ,left,rl_down,C,0.5818932407447758
33,TO4505KZ,top,capot,B,0.9913769500122385
34,DA4612PE,left,fl_door,F,0.9994444426838278
35,DA4612PE,top,top_up,E,0.9999700786921473
36,DA4612PE,back,cofre,A,0.9999920129935482
37,TO4155KZ,right,rr_door,B,0.9996992575773653
38,TO4155KZ,left,fl_door,D,0.9828194846969076
39,DA5101PE,right,rr_down,D,0.9999980926522767
40,DA5101PE,top,top_up,F,0.9997271485507362
41,TO4316KZ,left,rl_up,F,0.9997340617581507
42,TO4316KZ,left,front_left,,0.0
43,DA5292PE,left,fl_door,B,0.9992087261172209
44,DA5292PE,back,cofre,E,0.9999580387702736
45,TO5063KZ,left,fl_door,F,0.9995052234551771
46,TO5063KZ,top,capot,C,0.9999949932161059
47,DA5104PE,top,capot,G,0.9999896288186996
